Metabolite	MIDAS_ID	Pool	KEGG_ID	HMDB_ID	SMILES	KEGG_pathway_association
"D-myo-Inositol-1,4,5-triphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O	"Inositol phosphate metabolism;MAPK signaling pathway;ErbB signaling pathway;Ras signaling pathway;Calcium signaling pathway;cGMP-PKG signaling pathway;cAMP signaling pathway;Chemokine signaling pathway;NF-kappa B signaling pathway;HIF-1 signaling pathway;Phosphatidylinositol signaling system;Sphingolipid signaling pathway;Phospholipase D signaling pathway;Oocyte meiosis;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;VEGF signaling pathway;Apelin signaling pathway;Osteoclast differentiation;Gap junction;Platelet activation;NOD-like receptor signaling pathway;C-type lectin receptor signaling pathway;Natural killer cell mediated cytotoxicity;Th1 and Th2 cell differentiation;Th17 cell differentiation;T cell receptor signaling pathway;B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Long-term potentiation;Neurotrophin signaling pathway;Retrograde endocannabinoid signaling;Glutamatergic synapse;Cholinergic synapse;Serotonergic synapse;Dopaminergic synapse;Long-term depression;Taste transduction;Inflammatory mediator regulation of TRP channels;Insulin secretion;GnRH signaling pathway;Estrogen signaling pathway;Melanogenesis;Thyroid hormone synthesis;Thyroid hormone signaling pathway;Oxytocin signaling pathway;Glucagon signaling pathway;Renin secretion;Aldosterone synthesis and secretion;Relaxin signaling pathway;Cortisol synthesis and secretion;Parathyroid hormone synthesis, secretion and action;GnRH secretion;AGE-RAGE signaling pathway in diabetic complications;Cushing syndrome;Growth hormone synthesis, secretion and action;Endocrine and other factor-regulated calcium reabsorption;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Alzheimer disease;Parkinson disease;Huntington disease;Spinocerebellar ataxia;Vibrio cholerae infection;Shigellosis;Yersinia infection;Chagas disease (American trypanosomiasis);African trypanosomiasis;Amoebiasis;Human cytomegalovirus infection;Kaposi sarcoma-associated herpesvirus infection;Epstein-Barr virus infection;Human immunodeficiency virus 1 infection;Pathways in cancer;Glioma;Non-small cell lung cancer;Hepatocellular carcinoma;PD-L1 expression and PD-1 checkpoint pathway in cancer"
Nicotinamide hypoxanthine dinucleotide	CNC_67	2	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N	
Uric acid	U_2	1	C00366	HMDB00289	O=C1NC2=C(N1)C(=O)NC(=O)N2	Purine metabolism;Bile secretion
Ketoglutaric acid	4C_38	4	C00026	HMDB00208	OC(=O)CCC(=O)C(O)=O	"Citrate cycle (TCA cycle);Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Lysine degradation;Histidine metabolism;Taurine and hypotaurine metabolism;D-Glutamine and D-glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;GABAergic synapse;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Bile secretion;Central carbon metabolism in cancer"
L-Saccharopine	CNC_194	3	C00449	HMDB00279	N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O	Lysine degradation;Biosynthesis of amino acids
Malonyl coenzyme A	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O	Fatty acid biosynthesis;Fatty acid elongation;beta-Alanine metabolism;Pyruvate metabolism;Propanoate metabolism;Carbon metabolism;Fatty acid metabolism;AMPK signaling pathway;Adipocytokine signaling pathway;Glucagon signaling pathway;Insulin resistance
N-Acetyl-D-mannosamine	20C_12	1	C00645	HMDB01129	[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O	Amino sugar and nucleotide sugar metabolism
Acetoacetate	20C_16	3	C00164	HMDB00060	CC(=O)CC(O)=O	"Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Lysine degradation;Tyrosine metabolism;Propanoate metabolism;Butanoate metabolism"
Adenosine diphosphate	20C_18	2	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Purine metabolism;FoxO signaling pathway;Neuroactive ligand-receptor interaction;Lysosome;AMPK signaling pathway;Platelet activation;Thermogenesis;Taste transduction;Renin secretion;Parkinson disease
O-Phosphorylethanolamine	20C_20	1	C00346	HMDB00224	NCCOP(O)(O)=O	Glycerophospholipid metabolism;Sphingolipid metabolism;Sphingolipid signaling pathway
Phosphocreatine	20C_26	2	C02305	HMDB01511	CN(CC(O)=O)C(=N)NP(O)(O)=O	Arginine and proline metabolism
L-Carnosine	20C_27	2	C00386	HMDB00033	NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O	Histidine metabolism;beta-Alanine metabolism
"3,5-Diiodo-L-tyrosine"	20C_28	2	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O	Tyrosine metabolism;Thyroid hormone synthesis
3-Iodo-L-tyrosine	20C_29	3	C02515	HMDB00021	N[C@@H](CC1=CC=C(O)C(I)=C1)C(O)=O	Tyrosine metabolism;Thyroid hormone synthesis
Indole-3-pyruvic acid	20C_30	4	C00331	HMDB60484	OC(=O)C(=O)CC1=CNC2=CC=CC=C12	Tryptophan metabolism
Pyridoxal 5-phosphate	20C_33	2	C00018	HMDB01491	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O	Thiamine metabolism;Vitamin B6 metabolism;Vitamin digestion and absorption
Crotonoyl coenzyme A	20C_42	2	C00877	HMDB02009	C\C=C\C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	Fatty acid degradation;Lysine degradation;Tryptophan metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Carbon metabolism;Fatty acid metabolism
2-Deoxyribose-5-phosphate	20C_44	4	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	Pentose phosphate pathway
3-Hydroxy-3-methylglutaryl coenzyme A	20C_45	2	C00356	HMDB01375	C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	"Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Butanoate metabolism;Terpenoid backbone biosynthesis;Ferroptosis"
Isovaleryl coenzyme A	20C_46	2	C02939	HMDB01113	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	"Valine, leucine and isoleucine degradation"
5-Phospho-D-ribose 1-diphosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	"Pentose phosphate pathway;Purine metabolism;Pyrimidine metabolism;Histidine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Folate biosynthesis;Carbon metabolism;Biosynthesis of amino acids;Antifolate resistance"
Anserine	20C_58	3	C01262	HMDB00194	CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O	Histidine metabolism;beta-Alanine metabolism
6-Phosphogluconic acid	20C_61	4	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	Pentose phosphate pathway;Carbon metabolism
D-Tagatose 6-phosphate	20C_67	1	C01097	HMDB06873	OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O	Galactose metabolism
N-Acetyl-D-glucosamine 1-phosphate	20C_68	4	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O	Amino sugar and nucleotide sugar metabolism
NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Drug metabolism - other enzymes;AMPK signaling pathway;Longevity regulating pathway;Aldosterone synthesis and secretion;Vitamin digestion and absorption
CDP-ethanolamine	20C_72	3	C00570	HMDB01564	NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O	Glycerophospholipid metabolism
2-Deoxyadenosine 5-triphosphate	20C_73	2	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1	Purine metabolism
Dihydrothymine	20C_78	2	 C00906	HMDB00079	CC1CNC(=O)NC1=O	
N-Acetyl-L-glutamic acid	4C_18	4	C00624	HMDB01138	CC(=O)NC(CCC(O)=O)C(O)=O	Arginine biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
4-Guanidinobutyric acid	4C_20	1	C01035	HMDB03464	NC(N)=NCCCC(O)=O	Arginine and proline metabolism
DL-4-Hydroxy-3-methoxymandelic acid	4C_23	3	C05584	HMDB00291	COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O	Tyrosine metabolism
5-Hydroxy-L-tryptophan	4C_27	2	C00643	HMDB15571	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	Tryptophan metabolism;Serotonergic synapse
Indole-3-acetic acid	4C_28	1	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2	Tryptophan metabolism
Glutathione disulfide	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O	Glutathione metabolism;Ferroptosis;Thyroid hormone synthesis
Thiamine monophosphate	4C_30	1	C01081	HMDB02666	CC1=C(CCOP(O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N	Thiamine metabolism
4-Methyl-2-oxovaleric acid	4C_37	3	C00233	HMDB00695	CC(C)CC(=O)C(O)=O	"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids"
N-Acetyl-5-hydroxytryptamine	4C_41	4	C00978	HMDB01238	CC(=O)NCCC1=CNC2=C1C=C(O)C=C2	Tryptophan metabolism
Betaine aldehyde hydrate	4C_42_R_hydrate	1	C07345		C[N+](C)(C)CC(O)O	
L-Gulonic acid gamma-lactone	4C_7	4	C01040	HMDB03466	[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)CO	Ascorbate and aldarate metabolism
2-Ketobutyric acid	4C_9	3	C00109	HMDB00005	CCC(=O)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Propanoate metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids"
3-Phosphoadenosine 5-phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Purine metabolism;Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate;Glycosaminoglycan biosynthesis - heparan sulfate / heparin;Sulfur metabolism
Anthranilate	A_17	1	C00108	HMDB01123	NC1=CC=CC=C1C(O)=O	"Tryptophan metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids"
2-Amino-3-methoxybenzoic acid	A_18	2	C05831	HMDB60374	COC1=CC=CC(C(O)=O)=C1N	Tryptophan metabolism
3-Aminoisobutyric acid	A_19	2	C05145	HMDB03911	CC(CN)C(O)=O	
Phosphatidic Acid	AVL_2	4	C00350		O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Glycerophospholipid metabolism;Autophagy - other;Autophagy - animal;Retrograde endocannabinoid signaling;Pathogenic Escherichia coli infection;Kaposi sarcoma-associated herpesvirus infection
Phosphatidylcholine	AVL_3	3	C00157		O=C(OCC(OC(=O)CC)COP([O-])(=O)OCC[N+](C)(C)C)CC	Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Retrograde endocannabinoid signaling;Choline metabolism in cancer
Phosphatidylethanolamine	AVL_5	4	C00416		CCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCCN)OC(=O)CCCCC	Glycerolipid metabolism;Glycerophospholipid metabolism;cAMP signaling pathway;Phosphatidylinositol signaling system;Phospholipase D signaling pathway;Fc gamma R-mediated phagocytosis;GnRH signaling pathway;Fat digestion and absorption;Pathways in cancer;Pancreatic cancer;Choline metabolism in cancer
Phosphatidylglycerol	AVL_8	4			CCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(CO)O)OC(=O)CCCCC	
"1,3-Diaminopropane"	Base_3	1	C00986	HMDB00002	NCCCN	"Glycine, serine and threonine metabolism;Arginine and proline metabolism;beta-Alanine metabolism"
Phenethylamine	Base_4	1	C05332	HMDB12275	NCCC1=CC=CC=C1	Phenylalanine metabolism
L-Cysteic acid	C_10	3	C00506	HMDB02757	NC(CS(O)(=O)=O)C(O)=O	Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Neuroactive ligand-receptor interaction
L-Citrulline	C_13	3	C00327	HMDB00904	N[C@@H](CCCNC(N)=O)C(O)=O	Arginine biosynthesis;Biosynthesis of amino acids
D-Cellobiose	C_2	3	C00185	HMDB00055	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Starch and sucrose metabolism;ABC transporters
Choline	C_6	1	C00114	HMDB00097	C[N+](C)(C)CCO	"Glycine, serine and threonine metabolism;Glycerophospholipid metabolism;ABC transporters;Cholinergic synapse;Bile secretion;Choline metabolism in cancer"
"2,3-Dihydroxypropyl hexopyranoside"	Cay_5	2	C05401	HMDB06790	OCC(O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	Galactose metabolism;Glycerolipid metabolism
PIP2	Cay_8	4	C04637		CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O	Inositol phosphate metabolism;Phosphatidylinositol signaling system;Phospholipase D signaling pathway;Endocytosis;PI3K-Akt signaling pathway;Focal adhesion;Fc gamma R-mediated phagocytosis;Leukocyte transendothelial migration;Cholinergic synapse;Regulation of actin cytoskeleton;GnRH secretion;Shigellosis;Yersinia infection
PIP3	Cay_9	4	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O	Inositol phosphate metabolism;EGFR tyrosine kinase inhibitor resistance;ErbB signaling pathway;Ras signaling pathway;Chemokine signaling pathway;FoxO signaling pathway;Phosphatidylinositol signaling system;Sphingolipid signaling pathway;Phospholipase D signaling pathway;Autophagy - animal;Endocytosis;mTOR signaling pathway;PI3K-Akt signaling pathway;AMPK signaling pathway;Apoptosis;Longevity regulating pathway;Longevity regulating pathway - multiple species;Cellular senescence;VEGF signaling pathway;Focal adhesion;Platelet activation;Natural killer cell mediated cytotoxicity;T cell receptor signaling pathway;B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Neurotrophin signaling pathway;Regulation of actin cytoskeleton;Insulin signaling pathway;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Thyroid hormone signaling pathway;Relaxin signaling pathway;Insulin resistance;Aldosterone-regulated sodium reabsorption;Carbohydrate digestion and absorption;Alzheimer disease;Shigellosis;Salmonella infection;Yersinia infection;Chagas disease (American trypanosomiasis);Toxoplasmosis;Hepatitis C;Measles;Human cytomegalovirus infection;Influenza A;Human papillomavirus infection;Human T-cell leukemia virus 1 infection;Kaposi sarcoma-associated herpesvirus infection;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Human immunodeficiency virus 1 infection;Pathways in cancer;Colorectal cancer;Pancreatic cancer;Endometrial cancer;Glioma;Prostate cancer;Melanoma;Chronic myeloid leukemia;Acute myeloid leukemia;Small cell lung cancer;Non-small cell lung cancer;Breast cancer;Hepatocellular carcinoma;Gastric cancer;Choline metabolism in cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer
"N,N-Diacetylchitobiose"	CNC_100	2	C01674	HMDB03556	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(O)=O)[C@@H]1O	Amino sugar and nucleotide sugar metabolism;ABC transporters
3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O	Cysteine and methionine metabolism
2-Methylbutyrylglycine	CNC_106	3		HMDB00339	CCC(C)C(=O)NCC(O)=O	
2-Hydroxy-3-methylpentanoic acid	CNC_107	3		HMDB00317	CC[C@@H](C)[C@@H](O)C(O)=O	
N-Hexanoyl-glycine	CNC_110	3		HMDB00701	CCCCCC(=O)NCC(O)=O	
4-Hydroxyphenylacetylglycine	CNC_111	3	C05596	HMDB00735	OC(=O)CNC(=O)CC1=CC=C(O)C=C1	Tyrosine metabolism
L-a-Aspartyl-L-phenylalanine	CNC_112	3		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	
Isovaleric acid	CNC_115	3	C08262	HMDB00718	CC(C)CC(O)=O	Protein digestion and absorption
Isovalerylglycine	CNC_117	3		HMDB00678	CC(C)CC(=O)NCC(O)=O	
Leucinic acid	CNC_118	3	C03264	HMDB00624	CC(C)C[C@@H](O)C(O)=O	
3-Aminopiperidin-2-one	CNC_119	1		HMDB00323	NC1CCCNC1=O	
2-Methylglutaric acid	CNC_122	3		HMDB00422	CC(CCC(O)=O)C(O)=O	
D-Leucic acid	CNC_123	3		HMDB00665	CC(C)CC(O)C(O)=O	
Hippuric acid	CNC_132	1	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1	Phenylalanine metabolism
CDP-Glycerol	CNC_135	3	C00513	HMDB59599	OCC(O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O	Glycerophospholipid metabolism
Nicotinamide ribotide	CNC_14	2	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O	Nicotinate and nicotinamide metabolism
3-Methylglutaconic acid	CNC_140	2		HMDB00522	C\C(CC(O)=O)=C/C(O)=O	
Diadenosine triphosphate	CNC_141	3	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1	Purine metabolism
(R)-3-Hydroxybutyric acid	CNC_153	2	C01089	HMDB00011	C[C@@H](O)CC(O)=O	Synthesis and degradation of ketone bodies;Butanoate metabolism;cAMP signaling pathway
N-2-Furoylglycine	CNC_154	1		HMDB00439	OC(=O)CNC(=O)C1=CC=CO1	
Glycerol 3-phosphate	CNC_158	3	C00093	HMDB00126	OC[C@@H](O)COP(O)(O)=O	Glycerolipid metabolism;Glycerophospholipid metabolism;ABC transporters;Choline metabolism in cancer
3-Methoxytyramine	CNC_16	1	C05587	HMDB00022	COC1=C(O)C=CC(CCN)=C1	Tyrosine metabolism;Dopaminergic synapse
N6-Acetyl-lysine	CNC_164	3	C02727	HMDB00206	CC(=O)NCCCC[C@H](N)C(O)=O	Lysine degradation
N2-Acetyl-L-lysine	CNC_167	3	C12989	HMDB00446	CC(=O)NC(CCCCN)C(O)=O	
L-Alloisoleucine	CNC_171	1		HMDB00557	CC[C@@H](C)[C@H](N)C(O)=O	
DL-Homocystine	CNC_178	1	C01817	HMDB00575	NC(CCSSCCC(N)C(O)=O)C(O)=O	Cysteine and methionine metabolism
Dephosphocoenzyme A	CNC_18	4	C00882	HMDB01373	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS	Pantothenate and CoA biosynthesis
Porphobilinogen	CNC_184	3	C00931	HMDB00245	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1	Porphyrin and chlorophyll metabolism
DL-Homocysteine	CNC_196	3	C00155	HMDB00742	NC(CCS)C(O)=O	Cysteine and methionine metabolism;Sulfur metabolism;Biosynthesis of amino acids;Antifolate resistance;NOD-like receptor signaling pathway
Uridine 5-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;Neuroactive ligand-receptor interaction
Adenosine 5-phosphosulfate	CNC_26_R	3	C00224	HMDB01003	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O	Purine metabolism;Sulfur metabolism
N-Glycolylneuraminic acid	CNC_34	3	C03410	HMDB00833	OC[C@@H](O)[C@@H](O)[C@@H]1O[C@@](O)(C[C@H](O)[C@H]1NC(=O)CO)C(O)=O	Amino sugar and nucleotide sugar metabolism
L-Pipecolic acid	CNC_36	1	C00408	HMDB00070	OC(=O)C1CCCCN1	Lysine degradation
3-Methyl-2-oxovaleric acid	CNC_37	3	C03465	HMDB00491	CCC(C)C(=O)C(O)=O	
Dimethylaminopurine	CNC_43	1		HMDB00473	CN(C)C1=NC=NC2=C1NC=N2	
Uridine 5-diphosphoglucose	CNC_46	3	C00029	HMDB00286	OC[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@@H](O)[C@H](O)[C@H]1O	"Pentose and glucuronate interconversions;Galactose metabolism;Ascorbate and aldarate metabolism;Pyrimidine metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Glycerolipid metabolism"
Biocytin	CNC_48	3	C05552	HMDB03134	[H][C@]12CS[C@@H](CCCCC(=O)NCCCC[C@H](N)C(O)=O)[C@@]1([H])NC(=O)N2	Biotin metabolism;Vitamin digestion and absorption
Uridine 5-triphosphate	CNC_49	2	C00075	HMDB00285	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;Neuroactive ligand-receptor interaction
Guanosine 5-triphosphate	CNC_50	4	C00044	HMDB01273	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	Purine metabolism;Riboflavin metabolism;Folate biosynthesis;RNA transport;Ras signaling pathway;Rap1 signaling pathway;Sulfur relay system;Autophagy - animal;Endocytosis
"4,6-Dioxoheptanoic acid"	CNC_56	3		HMDB00635	CC(=O)CC(=O)CCC(O)=O	
N-Acetylneuraminic acid	CNC_57	3	C00270	HMDB00230	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O	Amino sugar and nucleotide sugar metabolism
Uridine 5-diphosphogalactose	CNC_58	3	C00052	HMDB00302	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;Amino sugar and nucleotide sugar metabolism
Cyclic AMP	CNC_59	3	C00575	HMDB00058	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	"Purine metabolism;Endocrine resistance;MAPK signaling pathway;Ras signaling pathway;Rap1 signaling pathway;Calcium signaling pathway;cGMP-PKG signaling pathway;cAMP signaling pathway;Chemokine signaling pathway;Phospholipase D signaling pathway;Oocyte meiosis;Longevity regulating pathway;Longevity regulating pathway - multiple species;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Hedgehog signaling pathway;Apelin signaling pathway;Gap junction;Platelet activation;Leukocyte transendothelial migration;Circadian rhythm;Circadian entrainment;Thermogenesis;Long-term potentiation;Retrograde endocannabinoid signaling;Glutamatergic synapse;Cholinergic synapse;Serotonergic synapse;GABAergic synapse;Dopaminergic synapse;Olfactory transduction;Taste transduction;Inflammatory mediator regulation of TRP channels;Insulin signaling pathway;Insulin secretion;GnRH signaling pathway;Ovarian steroidogenesis;Progesterone-mediated oocyte maturation;Estrogen signaling pathway;Melanogenesis;Thyroid hormone synthesis;Thyroid hormone signaling pathway;Oxytocin signaling pathway;Glucagon signaling pathway;Regulation of lipolysis in adipocytes;Renin secretion;Aldosterone synthesis and secretion;Relaxin signaling pathway;Cortisol synthesis and secretion;Parathyroid hormone synthesis, secretion and action;Cushing syndrome;Growth hormone synthesis, secretion and action;Aldosterone-regulated sodium reabsorption;Endocrine and other factor-regulated calcium reabsorption;Vasopressin-regulated water reabsorption;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Parkinson disease;Prion diseases;Cocaine addiction;Amphetamine addiction;Morphine addiction;Alcoholism;Vibrio cholerae infection;Pertussis;Chagas disease (American trypanosomiasis);Amoebiasis;Human papillomavirus infection;Human T-cell leukemia virus 1 infection;Pathways in cancer;Dilated cardiomyopathy (DCM)"
3-Methylglutaric acid	CNC_6	3		HMDB00752	CC(CC(O)=O)CC(O)=O	
3-Hydroxybutyryl coenzyme A	CNC_63	4	C01144	HMDB01166	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	Fatty acid degradation;Lysine degradation;Tryptophan metabolism;Butanoate metabolism;Carbon metabolism;Fatty acid metabolism
L-2-Aminobutyric acid	CNC_7	2	C02356	HMDB00452	CC[C@H](N)C(O)=O	Cysteine and methionine metabolism
"DL-3,4-Dihydroxyphenyl glycol"	CNC_75	3	C05576	HMDB00318	OCC(O)C1=CC(O)=C(O)C=C1	Tyrosine metabolism
